abash, to make ashamed, verb 
discord, disagreement between people, noun 
discordancy, the state of being at variance or in disagreement, noun 
discordant, not in harmony or accord, adjective 
discountenance," to have an unfavorable opinion of, to disapprove", verb 
discourse," to engage in discussion or conversation, to converse", verb 
discourteous, showing rudeness and a lack of consideration for others, adjective 
discover," to remove the cover from, to uncover", verb 
discredit," to harm the good reputation of a person, to defame", verb 
discreet," respectful of privacy or secrecy, quiet, diplomatic", adjective 
discrepancy, an inconsistency between two or more facts, noun 
discrepant," showing difference, inconsistent, dissimilar", adjective 
discrete," separate, distinct, individual, non-continuous", adjective 
discretion, the quality of being discreet or circumspect, noun 
discriminate," to recognize a distinction, to differentiate", verb 
discursive, digressing from subject to subject, adjective 
discursiveness," passing aimlessly from one subject to another, digressive", noun 
discussion, the action or process of talking about something, noun 
disdain, to regard (someone or something) with strong contempt, verb 
disencumber, to remove a burden, verb 
disenfranchise, to deprive someone of a right of citizenship, verb 
disengage," to release or loosen from something that binds, unfasten", verb 
disentangle," to free something from entanglement, to extricate or unknot", verb 
disfavor," unfavorable regard, displeasure, disesteem, dislike", noun 
disfigure, change the appearance of something/someone to the negative, verb 
disgruntle, to put into a bad mood or into bad humour, verb 
dishabille, extreme casual or disorderly dress, noun 
dishearten, to cause someone to lose confidence, verb 
disheveled," untidy, disordered (of clothes, appearance)", adjective 
dishonest, not honest, adjective 
disillusion," to free or deprive someone of idealism, belief, etc", verb 
disinclination," reluctance, unwillingness to do something", noun 
disinfect, to sterilize by the use of cleaning agent such as bleach, verb 
disinfectant, a chemical agent used to destroy harmful organisms, noun 
disinformation, publicly announced false information about a country, noun 
disingenuous, not candid or sincere, adjective 
disinherit," to exclude from inheritance, to disown", verb 
disinter, to dig up (something buries), verb 
disinterested," having no stake or interest in the outcome, free of bias", adjective 
disjunctive," not connected, separated", adjective 
dislocate, to put something out of its usual place, verb 
dislodge, to remove or force out from a position previously occupied, verb 
dismal, disappointingly inadequate, adjective 
dismissal, the act of sending someone away, noun 
dismount, to get off (something), verb 
disobedience, refusal to obey, noun 
disobedient, not obedient, adjective 
disown, to refuse to own or to refuse to acknowledge one’s own, verb 
disparage, to regard or represent as being of little worth, verb 
disparate," essentially different in kind, not allowing comparison", adjective 
disparity," the state of being unequal, difference", noun 
dispassionate," not showing, and not affected by emotion, bias, or prejudice", adjective 
dispatch, to send a shipment with promptness, verb 
dispel," to drive away by scattering, or to cause to vanish", verb 
dispensation," the act of dispensing or dealing out, distribution", noun 
disperse, to scatter in different directions, verb 
displace," to move something/someone, especially forcibly from a home", verb 
disposition, to remove or place in a different position, verb 
dispossess, to deprive someone of the possession of land, verb 
disputation," debate or argument, formal academic debate", noun 
disputatious, (of a person) fond of having heated arguments, adjective 
disqualify, to deprive of qualification or fitness, verb 
disquiet, make (someone) worried or anxious, verb 
disquietude, a state of uneasiness or anxiety, noun 
disregard, to ignore, verb 
disreputable," not respectable, lacking repute, discreditable", adjective 
disrepute, a loss or lack of credit or repute, noun 
disrobe, to undress someone or something, verb 
disrupt, to throw into confusion or disorder, verb 
dissatisfy, to fail to satisfy, verb 
dissect, to cut apart (something) to study its anatomy, verb 
dissection," the act of dissecting, or something dissected", noun 
dissemble," to disguise or conceal something, to feign", verb 
disseminate," to scatter or spread widely, broadcast", verb 
dissension," an act of expressing dissent, especially spoken", noun 
dissent, to differ in opinion, verb 
dissentient, in opposition to a majority or official opinion, adjective 
dissentious, not in agreement or harmony, adjective 
dissertation," a written essay, or thesis, especially for a doctoral degree", noun 
disservice, an ill turn or injury, noun 
dissever," to separate, split apart", verb 
dissidence, protest against official policy, noun 
dissident, a person who opposes official policy, noun 
dissimilar," not similar, unlike, different", adjective 
dissimulate, to disguise or conceal under a false appearance, verb 
dissipate," to drive away, disperse", verb 
dissipation," squandering of money, energy, or resources", noun 
dissolute," lax in morals, licentious", adjective 
dissolution, the termination of an organized body or legislative assembly, noun 
dissolve," to make a solution of, by mixing with a liquid", verb 
dissonance," inharmonious or harsh sound, cacophany", noun 
dissonant, unsuitable in combination, adjective 
dissuade, to convince not to try or do, verb 
dissuasion, the act or an instance of persuading against, noun 
distemper," to disturb and disorder, hence to make sick", verb 
distend," to extend or expand, as from internal pressure, to swell", verb 
distensible, capable of swelling or stretching, adjective 
distention, the state of being stretched beyond normal dimensions, noun 
distill, to make something (esp. a liquid) in this way, verb 
distillate, something formed by distilling, noun 
distillation, the act of pouring out or falling in drops, noun 
distiller," a person who owns, works in or operates a distillery", noun 
distinction, a difference or contrast between similar things or people, noun 
distinguish, to see someone or something as different from others, verb 
distort, to bring something out of shape, verb 
distrain," to squeeze, press, to constrain, oppress", verb 
distrainor," one who distrains, the party distraining goods or chattels", noun 
distraught, deeply upset and agitated, adjective 
distrust," to put no trust in, to have no confidence in", verb 
disunion, separation of a union, noun 
disyllable, a word comprising two syllables, noun 
dither, to be uncertain or unable to make a decision about something, verb 
diurnal," happening during daylight, or active during that time", adjective 
diva," any female celebrity, usually a well known singer or actress", noun 
divagation, straying off from a course or way, noun 
divergence," a difference or conflict in opinions, interests, wishes, etc", noun 
divergent, tending to be different or develop in different directions, adjective 
diverse, showing a great deal of variety, adjective 
diversion, an instance of turning something aside from its course, noun 
diversity, the quality of being different, noun 
divert, to turn aside from a course, verb 
divertible, capable of being diverted, adjective 
divest," to undress, disrobe", verb 
divination, the practice of foretelling the future by supernatural means, noun 
divine," to foretell (something), especially by the use of divination", verb 
divinity," the property of being divine, of being like a god or god", noun 
divisible, capable of being divided without a remainder, adjective 
divisive, having a quality that divides or separates, adjective 
divisor, a number or expression that another is to be divided by, noun 
divulge, to tell (a secret) so that it may become generally known, verb 
divulgence, the act of making known (private or sensitive information), noun 
docile," yielding to control or supervision, direction, or management", adjective 
docket, a calendar or list of cases for trial, noun 
doctrine," a belief or tenet, especially about theological matters", noun 
doe," the female of the deer, antelope, and certain other animals", noun 
doff, to remove a hat as a greeting or mark of respect, verb 
dogged," persistent in effort, stubbornly tenacious", adjective 
doggerel, verse or words that are badly written or expressed, noun 
dogma," an official system of tenets, laid down by an authority", noun 
dogmatic," opinionated, pragmatic", adjective 
dogmatize, to treat something as dogma, verb 
doleful," mournful, bringing feelings of sadness", adjective 
dolesome," doleful, dismal, gloomy", adjective 
dolor," sorrow, grief, misery or anguish", noun 
dolorous, feeling or expressing great sorrow or distress, adjective 
dolt, a stupid person, noun 
domain, a geographic area owned by a single person or organization, noun 
domestic, of or relating to the home, adjective 
domesticity, affection for the home and its material comforts, noun 
domicile, a home or residence, noun 
dominance, power and influence over others, noun 
dominant," most important, powerful, or influential", adjective 
dominate," to govern, rule or control by superior authority or power", verb 
domination, the exercise of control or influence over something, noun 
domineer, to rule over or control arbitrarily or arrogantly, verb 
don, to put on (clothes), verb 
donator, one who donates, noun 
donee, someone who receives a gift from a donor, noun 
donor," one who donates, typically, money", noun 
dormant," inactive, idle", adjective 
dotard," a person with impaired intellect, especially an old person", noun 
doublet," a close-fitting jacket, men's wear in the renaissance", noun 
dour," stern, harsh and forbidding", adjective 
dowdy, plain and unfashionable in style or dress, adjective 
dowry," the money,or goods a wife brings to her husband at marriage", noun 
drachma," the currency of greece until 2001, with the symbol ?", noun 
dragnet, a net dragged across the bottom of a body of water, noun 
dragoon," to force someone into doing something, to coerce", verb 
drainage, a removal of surface and sub-surface water from a given area, noun 
dramatist, playwright, noun 
dramatize, to adapt a literary work so that it can be performed, verb 
drastic," extreme, severe", adjective 
drawl," to speak in a slow, lazy way with prolonged vowel sounds", verb 
drivel," childish, silly or meaningless talk", noun 
droll, amusing in an odd way, adjective 
drone, to produce a low-pitched hum or buzz, verb 
dross," something regarded as worthless, rubbish", noun 
drought," a period of dry weather, especially injurous to crops", noun 
drowsy," inclined to drowse, heavy with sleepiness, lethargic, dozy", adjective 
drub," to hit or beat (someone) repeatedly, thrash", verb 
drudgery," tedious, menial and exhausting work", noun 
dubious, hesitating or doubting, adjective 
duckling, a young duck, noun 
ductile, capable of being made into thin wire without breaking, adjective 
duet," a performance by two people, esp. musicians", noun 
dulcet, sweet and soothing, adjective 
dun, to ask or beset a debtor for payment, verb 
dupe," to swindle, deceive, or trick", verb 
duplex, something having two parts, verb 
duplicity," deceitfulness, double dealing", noun 
durance," confinement or restraint by force, imprisonment", noun 
duration, an amount of time or a particular time interval, noun 
duress," coercion, compulsion by threat or force", noun 
duteous, willingly obedient out of a sense of duty and respect, adjective 
dutiable, on which duty must be paid when imported or sold, adjective 
dutiful, accepting of one's obligations and willing to do them well, adjective 
dwindle," to decrease, shrink, diminish, reduce in size", verb 
dynamic," characterized by constant change, activity, or progress", adjective 
dyne, a unit of force in the cgs system. symbol: dyn, noun 
earnest," ardent in the pursuit of an object, eager to obtain or do", adjective 
earthenware, pottery of baked or hardened clay, noun 
eatable," able to be eaten, edible", adjective 
ebullient, cheerful and full of energy, adjective 
eccentric, unconventional and slightly strange, adjective 
eccentricity," oddity, peculiarity", noun 
echelon, a level or rank in an organization, noun 
eclat," brilliance of success or effort, splendor", noun 
eclectic, made up of things selected from various sources, adjective 
eclipse, the complete or partial interception of light from a star, noun 
economize, to avoid waste or extravagance, verb 
ecstasy, intense pleasure, noun 
ecstatic, feeling or characterized by extreme happiness, adjective 
ecumenical," interdenominational, sometimes by extension, interreligious", adjective 
edible," that can be eaten without harm, non-toxic to humans", adjective 
edict, a proclamation of law or other authoritative command, noun 
edifice," a building, esp. a large and imposing one", noun 
edify, to instruct or improve (someone) morally or intellectually, verb 
editorial," of, or relating to the preparing of material for publication", adjective 
educe," to draw out or bring out, elicit or evoke", verb 
efface, to erase (a mark) from the surface, verb 
effective, successful in producing a desired or intended result, adjective 
effectual," producing the intended result, entirely adequate", adjective 
effeminacy, the quality of showing feminine traits (in a man), noun 
effeminate, (of a man) showing traits regarded as typical of a woman, verb 
effervesce," to emit small bubbles of dissolved gas, to froth or fizz", verb 
effervescent," giving off bubbles, fizzy", adjective 
effete," of substances, quantities etc: exhausted, spent, worn-out", adjective 
efficacious, effective, adjective 
efficacy, the ability to produce a desired or intended result, noun 
efficiency, the extent to which time is well used for the intended task, noun 
efficient, making good use of time or energy, adjective 
effigy, a dummy or crude representation of something that is hated, noun 
efflorescence, the state or a period of flowering, noun 
efflorescent, bursting into flower, adjective 
effluvium," a gaseous or vaporous emission, especially a foul odour", noun 
effrontery, insolent or impertinent behavior, noun 
effulgence," a state of being bright and radiant, splendor, brilliance", noun 
effulgent," shining, resplendent, with radiant splendor", adjective 
effuse," to give (a liquid, light, smell, or quality)", verb 
effusion, an outpouring of liquid, noun 
effusive, expressing feelings in an unrestrained or heartfelt manner, adjective 
egalitarian, characterized by equality for all people, adjective 
egocentric, regarding the self as the center of all things, adjective 
egoism, the tendency to think of self and self-interest, noun 
egoist, a conceited and self-centered person, noun 
egotism, a tendency to talk excessively about oneself, noun 
egotist, a person who talks excessively about himself, noun 
egregious," outstandingly bad,", shocking 
egress," to exit or leave, to go or come out", verb 
elaborate, to give further detail or explanation (about), verb 
élan," spirit, zeal, ardor", noun 
elapse, to pass or move by, verb 
elasticity," flexibility, resilience, adaptability", noun 
elated," very happy or proud, jubilant, in high spirits", adjective 
electrolysis, the passage of an electriccurrent through an electrolyte, noun 
electrotype, to make such a plate, verb 
eleemosynary," relating to charity, alms, or almsgiving", adjective 
elegy," a mournful or plaintive poem, a funeral song", noun 
elicit," to evoke, obtain, or provoke as a response or answer", verb 
eligible, having the right to do or obtain something, adjective 
eliminate, to completely destroy (a thing) so that it no longer exists, verb 
elite," of high birth or social position, aristocratic or patrician", adjective 
elixir, a liquid which converts lead to gold, noun 
elliptical," in a shape reminding of an ellipse, oval", adjective 
elocution, the skill of a clear and expressive speech, noun 
eloquence, the quality of artistry and persuasiveness in language, noun 
eloquent, fluently persuasive and articulate, adjective 
elucidate," to make clear, to clarify, to shed light upon", verb 
elude," to evade, or escape from someone or something through skill", verb 
elusion," the act, or abstract properties, of eluding", noun 
elusive," evading capture, comprehension or remembrance", adjective 
emaciate, to make extremely thin or wasted, verb 
emanate," to come from a source, stem out of", verb 
emancipate," to set free from the power of another, to liberate, as:", verb 
embargo, any restriction placed on commerce by a government, noun 
embark, to get on a boat or ship or (outside the usa) an aeroplane, verb 
embarrass," to cause confusion and shame to, disconcert, abash", verb 
embellish, to make something more entertaining by adding extra details, verb 
embezzle, to steal or misappropriate money one has been trusted with, verb 
emblazon, to adorn with prominent markings, verb 
emblem," a representative symbol, such as a trademark or logo", noun 
embodiment," a tangible or visible form of an idea, quality, or feeling", noun 
embody," to represent in a physical form, to incarnate or personify", verb 
embolden, to render (someone) more bold or courageous, verb 
embolism, an obstruction or occlusion of an artery, noun 
embroil," to draw into a situation, to cause to be involved", verb 
emend, make corrections and improvements to a text, verb 
emerge, to come into view, verb 
emergence, the act of coming forth from envelopment or concealment, noun 
emergent, in the process, adjective 
emeritus, having retired but retaining his title as an honor, adjective 
emigrant, someone who leaves a country to settle in a new country, noun 
emigrate, to leave the country in which one lives and settle elsewhere, verb 
eminence," someone of high rank, reputation or social station", noun 
eminent, (a person) famous and respected within a particular sphere, adjective 
emissary, a person sent on a special mission, noun 
emit, to send out or give off, verb 
emollient, having the quality of softening or soothing the skin, adjective 
emolument," payment for an office or employment, compensation for a job", noun 
emote," to display emotions openly, especially while acting", verb 
empathy, the ability to understand and share the feelings of others, noun 
emphasis, special weight given to something considered important, noun 
emphasize," to stress, give emphasis or extra weight to (something)", verb 
emphatic, expressing something forcibly and clearly, adjective 
empirical, pertaining to or based on experience, adjective 
emporium," a market place or trading centre, particularly in antiquity", noun 
empower, to give permission or power to do something, verb 
emulate, to match or surpass (a person or achievement) by imitation, verb 
enact, to make (a bill) into law, verb 
enamor," to attract, to capture", verb 
encamp, to build and/or inhabit a camp or temporary shelter, verb 
encapsulate, to cover something as if in a capsule, verb 
encipher, convert (a message or piece of text) into a coded form; encrypt, verb 
enclave," a country, or part thereof, that is surrounded by another", noun 
encomium, a piece of writing that praises someone or something highly, noun 
encompass," to form a circle around, to encircle", verb 
encore, to call for an extra performance or repetition, verb 
encourage," to mentally support, to motivate, give courage", verb 
encroach, to advance gradually and in a way that causes damage, verb 
encumber, to load down something with a burden, verb 
encumbrance," something that encumbers, a burden that must be carried", noun 
encyclical, intended for general circulation, adjective 
encyclopedia, a book or set of books containing articles on various topics, noun 
endanger," to expose to danger, to risk causing harm to", verb 
endear, to make dear or precious, verb 
endearing, tending to make dear or beloved, verb 
endeavor, to attempt through application of effort, verb 
endemic, natural to or characteristic of a specific people or place, adjective 
endorse," to support or give one's approval to, especially officially", verb 
endow," to furnish, as with some talent, faculty, or quality", verb 
endue," to invest or endow with some gift, quality, or faculty", verb 
endurance, the measure of a person's stamina or persistence, noun 
endure," to hold out against, sustain without impairment or yielding", verb 
enduring," lasting, permanent, present participle of endure", verb 
energetic," possessing, exerting, or displaying energy", adjective 
enervate," to deprive of force or strength, weaken", verb 
enfeeble," to make feeble, to weaken", verb 
enfranchise," to admit to citizenship, especially to grant voting rights", verb 
engage, to occupy the attention or efforts, verb 
engender," to produce, cause, or give rise to", verb 
engrave, to carve text or symbols into (something), verb 
engross," to occupy completely, as the mind or attention", verb 
engulf, to overwhelm, verb 
enhance," to raise to a higher degree, intensify, magnify", verb 
enigma, a puzzling or inexplicable occurrence or situation, noun 
enigmatic," perplexing, mysterious, resembling an enigma", adjective 
enjoin," to lay upon, as an order or command, to order, to charge", verb 
enkindle," to kindle, to arouse or evoke", verb 
enlighten," to supply with light, to illuminate", verb 
enlist," to join a cause or organization, especially military", verb 
enmity," a feeling or condition of hostility, hatred, animosity", noun 
ennoble," to bestow with nobility, honour or grace", verb 
ennui," a listlessness or melancholia caused by boredom, depression", noun 
enormity," greatness of size, scope, extent, or influence, immensity", noun 
enormous," deviating from the norm, unusual, extraordinary", adjective 
enormousness, great size or magnitude, noun 
enrage," to fill with rage, to provoke to frenzy or madness", verb 
enrapture," to fill with great delight or joy, to fascinate", verb 
ensconce, to place in a secure environment, verb 
enshrine, to enclose (a sacred relic etc ) in a shrine or chest, verb 
enshroud, to cover with (or as if with) a shroud, verb 
ensnare," to entrap, to catch in a snare or trap", verb 
entail, to imply or require, verb 
entangle, to twist in such a manner as not to be easily separated, verb 
enthrall, to captivate or charm, verb 
enthrone, to invest with sovereign or episcopal authority, verb 
enthuse, to cause (someone) to feel enthusiasm or to be enthusiastic, verb 
enthusiastic," with zealous fervor, excited, motivated", adjective 
entice," to lure, to attract by arousing desire or hope", verb 
entirety," wholeness, fullness, the whole", noun 
entomology, the branch of zoology dealing with insects, noun 
entrail," the internal parts of the trunk of a body, the intestines", noun 
entreat," to treat, or conduct toward, to deal with, to use", verb 
entreaty," the act of entreating or beseeching, urgent prayer", noun 
entrée, a dish served as the main course of a meal, noun 
entrench," to place in a position of strength, establish firmly", verb 
entwine, to twist or twine around something (or one another), verb 
enumerate," to mention separately as if in counting, name one by", one 
enunciate, to make a definite or systematic statement of, verb 
enunciation," the act of announcing, proclaiming, or making known", noun 
envenom, to make poisonous, verb 
envoy," a representative, a diplomatic agent", noun 
enzyme, a protein that catalyses a biological chemical reaction, noun 
ephemeral," lasting a very short time, short-lived, transitory", adjective 
epic," heroic, majestic, impressively", great 
epicure," a person who cultivates a refined taste, connoisseur", noun 
epicurean," pursuing pleasure, esp. in reference to food or comfort", adjective 
epicycle, circle whose centre is on the circumference of a larger one, noun 
epicycloid, plane curve made by tracing the path of a point of a circle, noun 
epidemic," like or having to do with an epidemic, widespread", adjective 
epidermis," the outer, protective layer of the skin of vertebrates", noun 
epigram," any witty, ingenious, or pointed saying tersely", expressed 
epilogue," a concluding part added to a literary work, as a novel", noun 
epiphany, a manifestation of a divine or superhuman being, noun 
epistemology, the branch of philosophy dealing with the study of knowledge, noun 
epistle," a letter, or a literary composition in the form of a letter", noun 
epistolary," of or relating to letters, or the writing of letters", adjective 
epitaph, an inscription on a gravestone in memory of the deceased, noun 
epithet, any phrase applied to a person/thing to describe a quality, noun 
epitome, a person or thing that is typical of a whole class, noun 
epitomize," to serve as a typical example of, typify", verb 
epizootic, like or having to do with an epidemic among animals, adjective 
epoch," a period of history, esp. considered remarkable/noteworthy", noun 
epode, a lyric poem in which a short verse follws a long one, noun 
equable," unvarying, calm and steady, constant and uniform", adjective 
equalize, to make equal, verb 
equanimity," mental or emotional stability or composure, calmness", noun 
equestrian, of horseback riding or horseback riders, adjective 
equilibrium, the condition in which competing influences are balanced, noun 
equine, of or relating to a horse or horses, adjective 
equipoise," an equal distribution of weight, even balance, equilibrium", noun 
equitable," characterized by equity or fairness, fair, reasonable", adjective 
equity," the quality of being fair or impartial, fairness", noun 
equivalent," similar or identical in value, meaning or effect", adjective 
equivocal," of doubtful nature or character, questionable, dubious", adjective 
equivocate," to use unclear expressions, usually in order to mislead", verb 
eradicate, to remove or destroy utterly, verb 
erasure," the action of erasing, deletion, obliteration", noun 
erode," to wear away by abrasion, corrosion or chemical reaction", verb 
err, to make a mistake, verb 
errant, straying from the proper course or standard, adjective 
erratic," unsteady, prone to unexpected changes, not consistent", adjective 
erroneous," containing error, mistaken, incorrect, wrong", adjective 
ersatz," made in imitation, artificial", adjective 
erudite," characterized by great knowledge, learned or scholarly", adjective 
erudition," knowledge acquired by study, research, etc., learning", noun 
escalate," to increase (something) in extent or intensity, intensify", verb 
eschew," to abstain or keep away from, shun, avoid", verb 
esoteric, understood by or meant for only a select few, adjective 
espionage, the act or practice of spying, noun 
espouse," to make one's own, adopt or embrace, as a cause", verb 
esprit," spirit, enthusiasm", noun 
espy," to catch sight or, to perceive with the eyes, to discover", verb 
esquire," to attend, wait on, escort", verb 
essence, the inherent nature of a thing or idea, noun 
esteem, to regard someone with respect, verb 
estimable," worthy of esteem, admirable", adjective 
estrange," to cause to feel less close or friendly, alienate", verb 
estuary, coastal water body where ocean tides and river water merge, noun 
ethereal," light, airy, or tenuous, delicate", adjective 
ethos," characteristic spirit of a culture, era, or community", noun 
etymology," the derivation of a word, word origin", noun 
eugenic, of bringing about improvement in produced offspring, adjective 
eulogize," to praise or pay homage to, especially in a formal eulogy", verb 
eulogy," an oration to honor a deceased person, usually at a funeral", noun 
euphemism, an indirect expression substituted for an offensive one, noun 
euphonious," pleasant-sounding, agreeable to the ear", adjective 
euphony, a pleasing pronunciation of letters and syllables, noun 
euphoria," a feeling of happiness, confidence, or well-being", noun 
euphoric, feeling of great well-being or intense feeling of happiness, adjective 
eureka, an exclamation of triumph at a discovery, adjective 
euthanasia, the practice of painlessly killing for humane reasons, noun 
evacuate, to leave or withdraw from, verb 
evade," to get away from by artifice, to avoid by dexterity", verb 
evanesce, to disappear into a mist or dissipate in vapor, verb 
evanescence," to disappear gradually, vanish, fade away", verb 
evanescent," vanishing, fading away, fleeting", adjective 
evangelical, pertaining to the gospel(s) of the christian new testament, adjective 
evangelist," an itinerant or special preacher, especially a revivalist", noun 
evasion," the act of eluding or avoiding, particularly some pressure", noun 
evasive, tending to avoid making revelations about oneself, adjective 
eventual, happening at some indefinite future time, adjective 
evert, to turn inside out, verb 
evict, to expel (one or more people) from their property, verb 
evidential, of or providing evidence, adjective 
evince," to show or demonstrate clearly, to manifest", verb 
evocation," an act or instance of evoking, a calling forth", noun 
evoke, to cause a thing to manifest in someone's mind, verb 
evolution," any process of formation or growth, development", noun 
evolve, to develop gradually, verb 
ewe," a female sheep, especially when fully mature", noun 
ex, officio by right of position or office, noun 
exacerbate," to increase the severity, bitterness, or violence of", verb 
exact, strictly accurate or correct, adjective 
exacting, rigid or severe in demands or requirements, verb 
exaggerate," to overstate, to describe more than is fact", verb 
exalt," to raise in rank, honor, power, character, quality", verb 
exasperate," to irritate or provoke to a high degree, annoy extremely", verb 
exasperation," to irritate or provoke to a high degree, annoy extremely", noun 
excavate," to make a hole in (something), to hollow", verb 
exceed," to be larger, greater than (something)", verb 
excel, to be better or do better than someone or something, verb 
excellence, the state of possessing good qualities in an eminent degree, noun 
exceptionable," liable to exception or objection, objectionable", adjective 
excess," more than is normal, necessary or specified", adjective 
excitable, easily excited, adjective 
excitation, the act of exciting or putting in motion, noun 
exclamation," a loud calling or crying out, indicative of emotion", noun 
exclusion, the act of shutting out, noun 
excoriate, to denounce or berate severely, verb 
excoriation, the act of excoriating or flaying, noun 
excrescence," something, usually abnormal, growing out of something else", noun 
excretion, the process of removing material that has no further utility, noun 
excruciate," to inflict intense pain on (someone), to torture", verb 
exculpate," to clear from a charge of guilt or fault,vindicate", verb 
excursion," a brief recreational trip, a journey out of the usual way", noun 
excusable, possible to excuse, adjective 
execrable," utterly detestable, abominable, abhorrent", adjective 
execration, a curse dictated by violent feelings of hatred, noun 
executor," a person who performs some duty, job, etc", noun 
exegesis, critical explanation or interpretation of a text, noun 
exemplar," something fit to be imitated, ideal or model", noun 
exemplary," worthy of imitation, commendable", adjective 
exemplify, to show or illustrate by example, verb 
exempt, to grant (someone) freedom or immunity from, verb 
exert, to put in vigorous action, verb 
exhale, to expel air from the lungs, verb 
exhaustive, including every possible element, adjective 
exhilarate," to enliven, invigorate, stimulate", verb 
exhort," to urge, advise, or caution earnestly, admonish urgently", verb 
exhume," to dig out of the ground, to take out of a place of burial", verb 
exigency," exigent state or character, urgency", noun 
exigent," urgent, needing immediate action", adjective 
existence," the state of being, existing, or occurring, beinghood", noun 
existential," of, or relating to existence", adjective 
exodus, a sudden departure of a large number of people, noun 
exonerate," to relieve (someone or something) of a load, to unburden", verb 
exorbitance," exceeding the bounds of custom, propriety, or reason", noun 
exorbitant," exceeding proper limits, extravagant", adjective 
exorcise," to drive out an evil spirit from a person, place or thing", verb 
exorcism, the ceremony or the formula used in exorcising, noun 
exotic," foreign, with the connotation of excitingly foreign", adjective 
expand, to change from a smaller size to a larger one, verb 
expanse," a wide stretch, usually of sea, sky, or land", noun 
expansion, the act or process of expanding, noun 
expatiate," to range at large, or without restraint", verb 
expatriate, to banish (a person) from his or her native, country 
expectancy," anticipation, the state of expecting something", noun 
expectorate, to cough up fluid from the lungs, verb 
expediency, suitability for particular circumstance or situation, noun 
expedient," simple, easy, or quick, convenient", adjective 
expedite, to accelerate the progress of, verb 
expeditious," fast, prompt, speedy", adjective 
expend, to consume or exhaust some resource, verb 
expiate, to atone or make reparation for, verb 
explicate," to explain meticulously or in great detail, to analyze", verb 
explicit," very specific, clear, or detailed", adjective 
exploit, to use for one’s own advantage, verb 
exponent," one who expounds, represents or advocates", noun 
exposition," the act of expounding, setting forth, or explaining", noun 
expository," serving to explain, explicate, or elucidate", adjective 
expostulate, to protest or remonstrate, verb 
exposure," the condition of being exposed, uncovered, or unprotected", noun 
expound, to set forth or state in detail, verb 
expressive, effectively conveying thought or feeling, adjective 
expulsion, the act of driving out or expelling, noun 
expunge," to strike or blot out,", erase 
expurgate," to edit out incorrect, or otherwise undesirable information", verb 
extant," in existence, still existing, not destroyed or lost", adjective 
extemporaneous," without preparation or advanced thought, offhand", adjective 
extempore," carried out with no preparation, impromptu", adjective 
extensible, capable of being extended, adjective 
extensive," in the nature of an extent, wide, widespread", adjective 
extensor, a muscle whose contraction extends or straightens a limb, noun 
extenuate," to represent (a fault, offense, etc ) as less serious", verb 
external, outside of something, adjective 
extinct," no longer in existence, that has ended or died out", adjective 
extinguish," to put out, as in fire, to end burning, to quench", verb 
extirpate," to remove or destroy totally, do away with, exterminate", verb 
extol," to praise highly, laud, eulogize", verb 
extort, to take by illegal exercise of power or ingenuity, verb 
extortion, obtaining something by the abuse of office or authority, noun 
extradite, to move a person from one state to another by legal process, verb 
extradition, surrender of an alleged fugitive by one authority to another, noun 
extrajudicial, carried out without legal authority, adjective 
extraneous," not belonging to, or dependent upon, a thing", adjective 
extraordinary," not ordinary, exceptional, unusual", adjective 
extrapolate, to infer (an unknown) from something that is known, verb 
extravagance, excessive or superfluous expenditure of money, noun 
extravagant," spending much more than is necessary or wise, wasteful", adjective 
extremist," holding extreme views, especially on a political subject", adjective 
extremity, the most extreme or furthest point of something, noun 
extricate," to free, disengage, loosen, or untangle", verb 
extrinsic," external, separable from the thing itself, inessential", adjective 
extrovert," an outgoing, gregarious person", noun 
extrude, to push or thrust out, verb 
exuberance, effusively and almost uninhibitedly enthusiastic, adjective 
exuberant," very high-spirited, extremely energetic or enthusiastic", adjective 
exude," to discharge through pores, to emit, to give out", verb 
exult," to rejoice, be very happy", verb 
fabricate," to form into a whole by uniting its parts, to construct", verb 
fabrication," the act of framing, construction, manufacture", noun 
fabulous," extraordinary, especially in being very large", adjective 
facade," the face of a building, especially the front", noun 
facet," one of the small, polished plane surfaces of a cut gem", verb 
facetious, not meant to be taken seriously or literally, adjective 
facile, easily accomplished or, attained 
facile," moving, acting, working, proceeding, etc , with ease", adjective 
facilitate, to make easy or easier, verb 
facility," ease in learning or in doing something, proficiency", noun 
facsimile," to send via a facsimile machine, normally spoken as “fax”", verb 
faction, a group or clique within a larger group, noun 
factionalism, the splitting of a group into factions, noun 
factious," of, pertaining to, or caused by factions", adjective 
fad," a temporary fashion, notion, manner of conduct, etc", noun 
falderol, nonsense or foolishness, noun 
fallacious," containing a fallacy, logically unsound", adjective 
fallacy," deceptive or false appearance, deceitfulness, deception", noun 
fallible, capable of making mistakes or being wrong, adjective 
fallow, to make land fallow for agricultural purposes, verb 
falter, to waver or be unsteady, verb 
famine," extreme and general scarcity of food, as in a country", noun 
famish," to suffer or cause to suffer extreme hunger, starve", verb 
fanatic," a person with an extreme enthusiasm or zeal, as in religion", noun 
fanatical, having an extreme zeal or enthusiasm for something, adjective 
fanaticism, the characteristic or practice of being a fanatic, noun 
fanciless," having no fancy, without ideas or imagination", adjective 
farcical," resembling a farce, ludicrous, absurd", adjective 
fastidious," excessively particular, demanding, or fussy about details", adjective 
fastidiousness, the quality of being fastidious, noun 
